entity_id,name,layer,entity_type,value_chain_seat,exposure_0_100,preparedness_0_100,margin_of_safety,quadrant
hiscox-london-market,Hiscox London Market,1,insurer,carrier,73.5,40.0,-33.5,exposed
inigo-1301,Inigo Insurance / Lloyd's Syndicate 1301,1,lloyds_syndicate,carrier,62.7,61.3,-1.4,earning_it
kettle,Kettle,2,mga,mga,46.9,60.0,13.1,whitespace
kwh-analytics,kWh Analytics (Beazley),2,mga,mga,60.8,100.0,39.2,earning_it
lancashire-3010,Lancashire Insurance / Lloyd's Syndicate 3010,1,lloyds_syndicate,carrier,56.0,50.0,-6.0,sidelined
liberty-specialty,Liberty Specialty Markets,1,lloyds_syndicate,carrier,43.5,65.0,21.5,whitespace
markel,Markel International,1,lloyds_syndicate,carrier,56.9,55.0,-1.9,whitespace
ms-amlin,MS Amlin,1,lloyds_syndicate,carrier,59.2,60.0,0.8,whitespace
munich-re,Munich Re,1,insurer,carrier,61.0,90.0,29.0,earning_it
nardac,NARDAC,2,mga,mga,79.6,65.0,-14.6,earning_it
nephila,Nephila Capital,4,ils_capacity,reinsurer,61.3,95.0,33.7,earning_it
new-energy-risk,New Energy Risk,2,mga,mga,71.0,70.0,-1.0,earning_it
nscale-loughton-essex,"Nscale — Loughton, Essex AI Data Centre",3,data_centre,asset,66.5,25.0,-41.5,exposed
ntt-london1-dagenham,NTT Global Data Centers — London 1 (Dagenham) & Hemel Hempstead,3,data_centre,asset,59.0,52.5,-6.5,whitespace
parametrix,Parametrix,2,mga,mga,62.3,95.0,32.7,earning_it
partnerre,PartnerRe Ltd.,4,reinsurer,reinsurer,54.7,86.2,31.5,whitespace
previsico,Previsico,2,mga,mga,53.6,41.2,-12.4,sidelined
qbe-europe,QBE Europe,1,insurer,carrier,70.5,65.0,-5.5,earning_it
qts-blackstone-cambois-blyth,QTS / Blackstone Cambois (Blyth) AI Campus — Northumberland,3,data_centre,asset,80.0,35.0,-45.0,exposed
renaissance-re,RenaissanceRe,4,reinsurer,reinsurer,46.9,75.0,28.1,whitespace
renewable-guard,Renewable Guard,2,mga,mga,72.1,40.0,-32.1,exposed
rsa-intact,RSA (Intact),1,insurer,carrier,64.4,46.2,-18.2,exposed
scor,SCOR,4,reinsurer,reinsurer,34.9,75.0,40.1,whitespace
seagreen-offshore-wind-farm-angus,"Seagreen Offshore Wind Farm — Firth of Forth, off Angus, Scotland",3,energy_asset,asset,71.2,38.8,-32.4,exposed
skyline-partners,Skyline Partners,2,mga,mga,53.3,86.2,32.9,whitespace
sompo-intl-energy-uk,Sompo International (London Market Energy),1,insurer,carrier,68.3,50.0,-18.3,exposed
statera-thurrock-storage-essex,"Statera Energy Thurrock Storage — Tilbury, Essex",3,storage_asset,asset,93.8,33.8,-60.0,exposed
stellium-newcastle,Stellium Datacenters — Newcastle (Cobalt Business Park),3,data_centre,asset,56.8,37.5,-19.3,sidelined
swiss-re-corso,Swiss Re Corporate Solutions,4,reinsurer,reinsurer,46.2,100.0,53.8,whitespace
talbot-1183,Talbot Underwriting / Lloyd's Syndicate 1183,1,lloyds_syndicate,carrier,59.2,56.2,-3.0,whitespace
telehouse-london-docklands,Telehouse — London Docklands (Coriander Avenue),3,data_centre,asset,66.5,52.5,-14.0,earning_it
tokio-marine-kiln,Tokio Marine Kiln,1,lloyds_syndicate,carrier,58.5,55.0,-3.5,whitespace
travelers-5000,Travelers Syndicate 5000,1,lloyds_syndicate,carrier,60.8,56.2,-4.6,earning_it
vantage-cwl1-newport,"Vantage Data Centers — CWL1, Newport, Wales",3,data_centre,asset,66.5,52.5,-14.0,earning_it
virtus-stockley-park-hayes,"Virtus Data Centres — Stockley Park & Hayes, West London",3,data_centre,asset,59.0,52.5,-6.5,whitespace
whitelee-wind-farm-eaglesham-moor,"Whitelee Wind Farm — Eaglesham Moor, Scotland",3,energy_asset,asset,81.2,38.8,-42.4,exposed
yondr-slough-london,Yondr Group — Slough West London Hyperscale Campus,3,data_centre,asset,60.2,47.5,-12.7,sidelined
zenobe-capenhurst-chester,"Zenobe Capenhurst BESS — Capenhurst, Chester",3,storage_asset,asset,87.5,28.7,-58.8,exposed
zurich,Zurich Insurance,1,insurer,carrier,64.8,60.0,-4.8,earning_it
